"4","DJANGO UNCHAINED Written by Quentin Tarantino I EXT COUNTRYSIDE BROILING HOT DAY As the films OPENING CREDIT SEQUENCE plays complete with its own SPAGHETTI WESTERN THEME SONG we see SEVEN shirtless and shoeless BLACK MALE SLAVES connected together with LEG IRONS being run by TWO: WHITE MALE HILLBILLIES on HORSEBACK."
"2","The location is somewhere in Texas."
"2","The Black Men (ROY BIG SID BENJAMIN DJANGO PUDGY RALPH FRANKLYN and BLUEBERRY) are slaves just recently purchased at The Greenville Slave Auction in Greenville Mississippi."
"2","The White Hillbillies are two Slave Traders called The SPECK BROTHERS (ACE and DICKY)."
"2","One of the seven slaves is our hero DJANGO."
"2","hes fourth in the leg iron line."
"0","We may or may not notice a tiny small r burned into his cheek (r for runaway) but we cant help but notice his back which has been SLASHED TO RIBBONS by Bull Whip Beatings."
"0","As the Operatic Opening Theme Song plays we see a MONTAGE of misery and pain as Django and the Other Men are walked through blistering sun pounding rain and moved along by the end of a whip."
"2","Bare feet step on hard rock and slosh through mud puddles."
"2","Leg Irons take the skin off ankles."
"2","AS The CREDITS play DJANGO has a SPAGHETTI WESTERN FLASHBACK."
"0","Now Spaghetti Western Flashbacks are never pretty its usually the time in the film when the lead character thinks back to the most painful memory inflicted on him or his loved ones from evil characters from his past."
"2","In this instance we see Django in a SLAVE PEN at the Greenville Auction."
"2","DJANGO Amongst many other shoulders and heads sees through the bars of the cell door his wife BROOMHILDA being led to the auction block."
"2","He fights his way to the door and far off and obscure in the distance he can see Broomhilda up on the auction block and in the distance he hears the Auctioneer yell; Sold."
"0","Then shes taken away to whereabouts unknown never to be seen again."
"2","As the sun continues to beat down on Djangos head he remembers; DJANGO in the SLAVE PEN with what seems like a one hundred and fifty Slaves in a cell designed for forty."
"2","WHITE MEN yank him out."
"2","of the cell shirtless shoeless and lead him down a hallway into a giant round pen an audience viewing area circles the round pen floor on three different stories of the structure."
"2","The ground floor is covered by the BIG MONEY BUYERS who stand in front of the auction block."
"2","2 DJANGO is moved into a line of SLAVES (The Black Men) and their MASTERS (their White Owners) and their SELLERS (the White Man actually doing the sales pitch on the auction block) as they wait for their turn on the block."
"2","A SLAVE (ROBBIE) stand on the auction block in view of the room full of Buyers The SELLER sells and the OWNERS stand off to the side."
"2","DJANGO takes in the environment around him."
"0","Django has never cared for white folks but these white folks are in particularly ugly."
"2","Its DJANGOs turn ON THE AUCTION BLOCK as the THEME SONG wails its tragic crescendo Django is brought up on the auction block."
"2","He."
"2","looks down at all the WHITE PEOPLE who want to buy Niggers who look up to him."
"2","His heart fills with poison."
"2","BACK TO DJANGO walking in Leg Irons with his six Other Companions walking across the blistering Texas panhandle."
"2","remembering."
"2","thinking."
"2","hating."
"2","THE OPENING CREDIT SEQUENCE end."
"4","/ EXT WOODS NIGHT Its night time and The Speck Brothers astride HORSES keep pushing their black skinned cargo forward."
"2","Its a very pitch black night with only a few stars in the."
"2","sky to create a little top light."
"2","Its so dark the Slavers use the creek."
"2","bed to keep from getting lost."
"2","Both Speck Brothers carry a lantern up on their horse as."
"2","does Roy the Slave in lead position on the chain gang."
"2","Its also a bitterly cold night with the breath of the seven slaves two slavers and two horses creating clouds in the air."
"2","In fact the seven chained together Slaves with the lead one holding a lantern and all of them chugging out smoky breath and."
"2","slightly moving in unison resemble a human locomotive."
"2","The Slaves shiver from the cold on their shirtless backs both Speck Brothers wear rawhide winter coats with white fur linings and white fur collars."
"2","WHEN."
"2","A SOUND and a SMALL LIGHT appears ahead of them on the road."
"2","This makes the Slave Traders stop their human live stock and ready their rifles for possible trouble."
"2","3 A BLACK HORSE carrying a dressed in grey Rider CLIPCLOPS from the background to the foreground illuminated by a glowing lantern that the Rider carries."
"2","THE RIDER appears to be a tenderfoot due to his style of dress."
"2","A long grey wintercoat over a grey three piece business suit and a grey bowler hat on his head."
"2","DICKY SPECK Whos that stumblin around in the dark State your business or prepare to get winged THE RIDER Calm yourselves gentlemen I mean you no harm."
"2","Im simply a fellow weary traveler."
"2","The Rider dressed in business grey pulls his horse to a stop in front of the two Slavers and their Slaves lifting the lantern up to his face."
"2","He speaks with a slight German accent."
"2","THE RIDER (to the Slavers) Good cold evening gentlemen."
"2","(to the shivering Slaves) Good eveningIm looking for a pair of slave traders that go by thename of The Speck Brothers."
"2","Might that be you ACE SPECK Who wants to."
"2","know THE RIDER I do."
"2","Im Dr."
"2","King Schultz and this is my horse Fritz."
"2","Fritz does a little bow with his head a neat trick the doctor taught him."
"2","DICKY SPECK You a doctor Dr."
"2","SCHULTZ Affirmative."
"2","DICKY SPECK What kinda doctor Dr."
"2","SCHULTZ Dentist."
"2","Are you The Speck Brothers and did you purchase those men at The Greenville."
"2","Slave Auction ACE SPECK So what LE Dr."
"2","SCHULTZ So I wish to parley with you."
"2","ACE SPECK Speak English Dr."
"0","SCHULTZ Oh Im sorry."
"2","Please forgive me it is a second language."
"2","Amongst your inventory Ive been led to believe is a specimen Im keen to acquire."
"2","(to the slaves) Hello you poor devils."
"2","Is there one among you who was formerly a resident of The Carrucan Plantation Since Roy in lead position is the one holding the lantern the second half of the slave centipede falls off into darkness."
"2","In the darkness a VOICE rings out; DJANGOS VOICE (OS) Im from The Carrucan Plantation."
"2","Dr."
"2","Schultz moves Fritz forward towards the darkness raises his lantern illuminating our hero Django."
"2","Dr."
"2","SCHULTZ Splendid And whats your name young man DJANGO Django."
"2","Dr."
"2","SCHULTZ Wunderbar Youre exactly the one Im looking for."
"4","So tell me Django by the way thats a amazing name during your time at the Carrucan Plantation did you come to know three overseers by the name of The Brittle Brothers Django nods his head yes."
"2","Dr."
"2","Schultz is delighted."
"2","Dr."
"2","SCHULTZ Big John Ellis and little brother Raj DJANGO Dem da Brittle Brothers."
"2","Dr."
"2","SCHULTZ So Django do you think you could recognize ï¿½."
"2","The Speck Brothers have been watching this tenderfoot engage their Slave in polite conversation."
"2","with a touch of disbelief."
"2","ACE SPECK Hey stop talkin to him like that Dr."
"2","SCHULTZ Like what ACE SPEC Like that Dr."
"2","SCHULTZ My good man Im simply trying to ascertain ACE SPECK Speak English goddamit Dr."
"2","SCHULTZ Everybody calm down Im simply a customer trying to conduct a transaction."
